종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
148020,1,KBSTAR 200,41060,2,65,0.16,41123.0,-4.4517,88886,3649,10799,국내 시장지수,KBSTAR,False,False,False
305540,2,TIGER 2차전지테마,22160,2,615,2.85,22184.0,25.0435,9477288,208417,10116,국내 업종/테마,TIGER,False,False,False
139260,2,TIGER 200 IT,36540,5,-65,-0.18,36574.0,-0.3946,162558,5911,9150,국내 업종/테마,TIGER,False,False,False
233740,1,KODEX 코스닥150 레버리지,15935,5,-320,-1.97,16078.0,15.0796,6267345,100165,7824,국내 시장지수,KODEX,False,True,False
152100,1,ARIRANG 200,41600,2,100,0.24,41614.0,-4.3118,9979,413,7696,국내 시장지수,ARIRANG,False,False,False
105190,1,KINDEX 200,41165,2,90,0.22,41191.0,-4.5212,281609,11552,6998,국내 시장지수,KINDEX,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,12090,5,-90,-0.74,,22.7204,2763765,33330,6873,해외 주식,TIGER,False,False,False
091180,2,KODEX 자동차,22005,5,-115,-0.52,22005.0,-10.0996,160319,3520,6745,국내 업종/테마,KODEX,False,False,False
364980,2,TIGER KRX2차전지K-뉴딜,17460,2,150,0.87,17519.0,9.2113,1100309,19189,6652,국내 업종/테마,TIGER,False,False,False
310970,1,TIGER MSCI Korea TR,16470,5,-25,-0.15,16529.0,-4.6808,813,13,6637,국내 시장지수,TIGER,False,False,False
293180,1,HANARO 200,41040,2,100,0.24,41053.0,-4.502,3295,134,5828,국내 시장지수,HANARO,False,False,False
360750,4,TIGER 미국S&P500,13240,5,-20,-0.15,,11.9176,436065,5759,5799,해외 주식,TIGER,False,False,False
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),11215,5,-40,-0.36,,,993861,11183,5733,해외 주식,TIGER,False,False,False
069660,1,KOSEF 200,41065,2,85,0.21,41080.0,-4.4978,645,26,5708,국내 시장지수,KOSEF,False,False,False
251340,3,KODEX 코스닥150선물인버스,4240,2,40,0.95,4250.0,-8.397,30318882,128366,5402,국내 파생,KODEX,True,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,10825,2,100,0.93,,12.776,838906,9065,5180,해외 주식,TIGER,False,False,False
314250,4,KODEX 미국FANG플러스(H),29210,5,-230,-0.78,,11.0733,295519,8592,4878,해외 주식,KODEX,False,False,True
315930,2,KODEX Top5PlusTR,18725,2,75,0.4,18765.0,-5.377999999999999,5366,100,4850,국내 업종/테마,KODEX,False,False,False
294400,1,KOSEF 200TR,48770,2,80,0.16,48822.0,-4.5388,7461,363,4828,국내 시장지수,KOSEF,False,False,False
282000,3,KBSTAR 국고채3년선물인버스,100000,3,0,0.0,100018.0,0.331,6,0,4534,국내 파생,KBSTAR,True,False,False
364960,2,TIGER KRX BBIG K-뉴딜,12625,5,-150,-1.17,12618.0,1.1079999999999999,292589,3691,3844,국내 업종/테마,TIGER,False,False,False
385540,6,KBSTAR KIS종합채권(A-이상)액티브,100795,5,-25,-0.02,100747.0,0.6087,64,6,3800,채권,KBSTAR,False,False,False
332500,1,KINDEX 200TR,25065,2,55,0.22,25057.0,-4.5785,504,12,3634,국내 시장지수,KINDEX,False,False,False
229200,1,KODEX 코스닥 150,14820,5,-155,-1.04,14995.0,7.0025,1201343,17837,3623,국내 시장지수,KODEX,False,False,False
360200,4,KINDEX 미국S&P500,13345,5,-10,-0.07,,12.0104,280816,3737,3563,해외 주식,KINDEX,False,False,False
091170,2,KODEX 은행,7240,2,10,0.14,7234.0,-6.1649,960891,6930,3374,국내 업종/테마,KODEX,False,False,False
290130,2,KBSTAR ESG사회책임투자,13225,2,15,0.11,13232.0,-5.5755,5586,73,3339,국내 업종/테마,KBSTAR,False,False,False
371160,4,TIGER 차이나항셍테크,8575,5,-190,-2.17,,-12.0422,672875,5793,3310,해외 주식,TIGER,False,False,False
